BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,Properties,Seats,TransmissionTypeText
blau mét.,Limousine,2457,Zuzwil,244 g/km,Occasion,G,10.3 l/100km,4,Allrad,4,2006,Benzin,230,168.0,schwarz,161500,SUBARU,IMPREZA,"\"Ab MFK\"",5,Schaltgetriebe manuell
schwarz,Limousine,5461,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2011,Benzin,525,542.0,beige,69200,MERCEDES-BENZ,CLS 63 AMG,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
schwarz mét.,Cabriolet,5730,Zuzwil,null,Occasion,null,13.1 l/100km,2,Hinterradantrieb,7,1994,Benzin,282,603.0,schwarz,68200,CHEVROLET,CORVETTE,"\"Ab MFK\"",2,Automat
schwarz mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,682.0,beige,31200,MERCEDES-BENZ,SL 55 AMG,"\"Ab MFK\"",2,Automat
schwarz mét.,Cabriolet,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,4,2008,Benzin,480,726.0,braun,35500,PORSCHE,911,"\"Ab MFK\"",2,Schaltgetriebe manuell
silber mét.,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,1054.0,schwarz,27600,MERCEDES-BENZ,SL 500,"\"Ab MFK\"",0,Automat
anthrazit mét.,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,25.0,schwarz,32800,AUDI,RS6,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell
grau mét.,Cabriolet,3179,Zuzwil,263 g/km,Occasion,G,10.7 l/100km,2,Hinterradantrieb,7,2000,Benzin,252,342.0,schwarz,51000,PORSCHE,BOXSTER,"\"Ab MFK\"",2,Schaltgetriebe manuell
grün mét.,Limousine,3456,Zuzwil,186 g/km,Occasion,F,7.9 l/100km,4,Hinterradantrieb,7,2006,Benzin/Elektro,296,395.0,schwarz,34000,LEXUS,GS,"\"Ab MFK\"",5,Automat stufenlos
weiss,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,1100.0,schwarz,62300,MERCEDES-BENZ,S 500,"\"Ab MFK\"",5,Automat sequentiell
