carType,city,color,condition,country,currency,drive,fuel_consumption_unit,make,manufacture_month,manufacture_year,mileage,mileage_unit,modal,modal_variant,price_on_request,targetData,target_city,target_color,target_make,type,zip
"",Zuzwil,Gray,"","","","","",Ruf,"","",0,"","",Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Red,"","","","","",Ferrari,"","",0,"",F430,Coupé,false,Match,Zuzwil,Red,Ferrari,car,""
"",Zuzwil,Red,"","","","","",Ferrari,"","",0,"",F430,Coupé,false,Match,Zuzwil,Red,Ferrari,car,""
"",Zuzwil,Red,"","","","","",Ferrari,"","",0,"",575M,Coupé,false,Match,Zuzwil,Red,Ferrari,car,""
"",Zuzwil,Red,"","","","","",Ferrari,"","",0,"",F355,Cabriolet,false,Match,Zuzwil,Red,Ferrari,car,""
"",Zuzwil,Red,"","","","","",Ferrari,"","",0,"",F360,Cabriolet,false,Match,Zuzwil,Red,Ferrari,car,""
"",Zuzwil,Other,"","","","","",Nsu,"","",0,"","",Limousine,false,MisMatch,"","","",car,""
"",Porrentruy,Silver,"","","","","",Lamborghini,"","",0,"",MURCIÉLAGO,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",R5,Kleinwagen,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",R12,Limousine,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"","",Limousine,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",ALPINE,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Zuzwil,Black,"","","","","",Renault,"","",0,"",Alpine A110,Coupé,false,Match,Zuzwil,Black,Renault,car,""
"",Safenwil,Gray,"","","","","",Austin-Healey,"","",0,"","",Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Pgo,"","",0,"","",Cabriolet,false,MisMatch,"","","",car,""
