modal,modal_variant,city,color,make,mileage,mileage_unit,price_on_request,carType,condition,currency,drive,country,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
A8,Limousine,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
Ram,Pick-up,Zuzwil,Black,Dodge,0,"",false,"","","","","",car,"","","",""
X1,SUV / Geländewagen,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
F360,Cabriolet,Zuzwil,Gray,Ferrari,0,"",false,"","","","","",car,"","","",""
CL 500,Coupé,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Black,Maserati,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
575M,Coupé,Zuzwil,Silver,Ferrari,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Violet,Jaguar,0,"",false,"","","","","",car,"","","",""
F430,Coupé,Zuzwil,Red,Ferrari,0,"",false,"","","","","",car,"","","",""
R8,Coupé,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Red,Porsche,0,"",false,"","","","","",car,"","","",""
CLK 55 AMG,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
Alpine A110,Coupé,Zuzwil,Black,Renault,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
599,Coupé,Zuzwil,Silver,Ferrari,0,"",false,"","","","","",car,"","","",""
