make,model,city,color,carType,condition,currency,drive,country,mileage,mileage_unit,price_on_request,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
BMW,328,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
VOLVO,V70,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
BENTLEY,CONTINENTAL,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,ML 500,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
ROLLS-ROYCE,PHANTOM,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
BMW,728,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 55 AMG,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
FERRARI,348,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
RENAULT,CLIO,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
AUDI,A8,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 600,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 63 AMG,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
AUDI,S8,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
AUDI,A4,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
BENTLEY,CONTINENTAL,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
BMW,320,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
JAGUAR,S-TYPE,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
McLAREN,12C,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
FERRARI,612,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
