ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
5.0,PORSCHE,CAYENNE,anthrazit,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,schwarz,2900,5,Automat sequentiell,anthrazit,11.5,l/100km
51.0,FERRARI,456,blau,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,grau,46500,4,Schaltgetriebe manuell,blue,22.0,l/100km
798.0,MASERATI,GHIBLI,schwarz mét.,Coupé,2788,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1996,Benzin,284,beige,40600,5,Automat,black,null,""
815.0,MERCEDES-BENZ,C 63 AMG,schwarz mét.,Coupé,6208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,517,schwarz,500,2,Automatik-Getriebe,black,null,""
931.0,MERCEDES-BENZ,300,silber mét.,Coupé,2995,Sursee,null,Occasion,null,null,2,Hinterradantrieb,5,1955,null,215,rot,5000,0,Schaltgetriebe,silver,null,""
374.0,BMW,M3,grün,Cabriolet,3246,Zuzwil,328 g/km,Occasion,null,13.6 l/100km,2,Hinterradantrieb,12,2002,Benzin,343,braun,52900,4,Automatik-Getriebe,grün,13.6,l/100km
46.0,LAMBORGHINI,MURCIÉLAGO,blau,Coupé,6192,Zuzwil,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,5,2002,Benzin,580,schwarz,16000,2,Schaltgetriebe manuell,blue,21.5,l/100km
486.0,MERCEDES-BENZ,SL 500,rot,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,grau,117900,2,Automat,red,null,""
624.0,MERCEDES-BENZ,CLS 500,schwarz mét.,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,1,2005,Benzin,306,schwarz,21300,4,Automat sequentiell,black,12.1,l/100km
657.0,RENAULT,Alpine A110,schwarz mét.,Coupé,1288,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1973,Benzin,0,null,85000,2,Schaltgetriebe,black,null,""
678.0,MERCEDES-BENZ,600-SERIES,schwarz mét.,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,null,65400,2,Schaltgetriebe,black,null,""
939.0,CHEVROLET,CORVETTE,silber mét.,Coupé,6162,Zuzwil,316 g/km,Occasion,G,13.3 l/100km,2,Hinterradantrieb,3,2008,Benzin,437,schwarz,33000,2,Schaltgetriebe manuell,silver,13.3,l/100km
984.0,PORSCHE,911,silber mét.,Coupé,2994,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1983,Benzin,204,schwarz,134000,4,Schaltgetriebe,silver,null,""
1031.0,PORSCHE,911,silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,blau,60800,4,Schaltgetriebe manuell,silver,12.9,l/100km
1152.0,LAMBORGHINI,"",weiss mét.,Coupé,6496,Porrentruy,null,Occasion,G,null,2,Allrad,4,2008,Benzin,650,grau,5900,2,Automatik-Getriebe,white,null,""
124.0,FERRARI,F360,blau mét.,Coupé,3586,Porrentruy,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,11,2003,Benzin,400,bordeaux,42500,2,Automatisiertes Schaltgetriebe,blue,19.3,l/100km
306.0,VW,PHAETON,grau mét.,Limousine,4172,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,119000,5,Automat sequentiell,grey,12.9,l/100km
359.0,LAND ROVER,RANGE ROVER,grau mét.,SUV / Geländewagen,3530,Zuzwil,null,Occasion,null,null,5,Allrad,3,1989,Benzin,168,grau,151300,5,Schaltgetriebe,grey,null,""
