ID,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,BodyColorText,MakeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
657.0,Alpine A110,Coupé,1288,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1973,Benzin,0,null,85000,"\"Ab MFK\"",2,Schaltgetriebe,Black,Renault,null,""
678.0,600-SERIES,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,null,65400,null,2,Schaltgetriebe,Black,Mercedes-Benz,null,""
939.0,CORVETTE,Coupé,6162,Zuzwil,316 g/km,Occasion,G,13.3 l/100km,2,Hinterradantrieb,3,2008,Benzin,437,schwarz,33000,"\"Ab MFK\"",2,Schaltgetriebe manuell,Silver,Chevrolet,13.3,l/100km
984.0,911,Coupé,2994,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1983,Benzin,204,schwarz,134000,"\"Ab MFK\"",4,Schaltgetriebe,Silver,Porsche,null,""
1031.0,911,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,blau,60800,"\"Ab MFK\"",4,Schaltgetriebe manuell,Silver,Porsche,12.9,l/100km
1152.0,"",Coupé,6496,Porrentruy,null,Occasion,G,null,2,Allrad,4,2008,Benzin,650,grau,5900,"\"Ab MFK\"",2,Automatik-Getriebe,White,Lamborghini,null,""
124.0,F360,Coupé,3586,Porrentruy,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,11,2003,Benzin,400,bordeaux,42500,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Blue,Ferrari,19.3,l/100km
306.0,PHAETON,Limousine,4172,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,119000,"\"Ab MFK\"",5,Automat sequentiell,Gray,Vw,12.9,l/100km
359.0,RANGE ROVER,SUV / Geländewagen,3530,Zuzwil,null,Occasion,null,null,5,Allrad,3,1989,Benzin,168,grau,151300,null,5,Schaltgetriebe,Gray,Land Rover,null,""
405.0,MONDIAL,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,braun,56500,"\"Ab MFK\"",4,Schaltgetriebe manuell,Other,Ferrari,null,""
451.0,VIPER,Cabriolet,7990,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,2001,Benzin,800,schwarz,18600,"\"Ab MFK\", \"Tuning\"",2,Schaltgetriebe,Red,Dodge,null,""
615.0,DIABLO,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,2000,Benzin,492,schwarz,20600,"\"Ab MFK\"",2,Schaltgetriebe manuell,Black,Lamborghini,null,""
62.0,911,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,12,2002,Benzin,462,schwarz,61300,"\"Ab MFK\", \"Tuning\"",4,Schaltgetriebe manuell,Blue,Porsche,12.9,l/100km
83.0,CL 500,Coupé,5461,Zuzwil,288 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,9,2006,Benzin,388,schwarz,15100,"\"Ab MFK\"",4,Automat sequentiell,Blue,Mercedes-Benz,12.3,l/100km
904.0,ALPINE,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1981,Benzin,150,grau,139200,"\"Ab MFK\"",4,Schaltgetriebe manuell,Silver,Renault,null,""
907.0,CL 55 AMG,Coupé,5439,Zuzwil,317 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,11,2002,Benzin,500,schwarz,48300,"\"Ab MFK\"",4,Automat,Silver,Mercedes-Benz,13.2,l/100km
949.0,"",Coupé,2100,Zuzwil,null,Occasion,null,null,2,Allrad,8,1986,Benzin,600,null,1000,null,2,Schaltgetriebe,Silver,Ford,null,""
131.0,S 55 AMG,Limousine,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,4,Hinterradantrieb,2,1999,Benzin,360,schwarz,96500,"\"Ab MFK\"",5,Automat,Blue,Mercedes-Benz,13.0,l/100km
168.0,IMPREZA,Limousine,2457,Zuzwil,244 g/km,Occasion,G,10.3 l/100km,4,Allrad,4,2006,Benzin,230,schwarz,161500,"\"Ab MFK\"",5,Schaltgetriebe manuell,Blue,Subaru,10.3,l/100km
542.0,CLS 63 AMG,Limousine,5461,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2011,Benzin,525,beige,69200,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,Black,Mercedes-Benz,9.9,l/100km
603.0,CORVETTE,Cabriolet,5730,Zuzwil,null,Occasion,null,13.1 l/100km,2,Hinterradantrieb,7,1994,Benzin,282,schwarz,68200,"\"Ab MFK\"",2,Automat,Black,Chevrolet,13.1,l/100km
682.0,SL 55 AMG,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,beige,31200,"\"Ab MFK\"",2,Automat,Black,Mercedes-Benz,14.2,l/100km
726.0,911,Cabriolet,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,4,2008,Benzin,480,braun,35500,"\"Ab MFK\"",2,Schaltgetriebe manuell,Black,Porsche,12.9,l/100km
1054.0,SL 500,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,schwarz,27600,"\"Ab MFK\"",0,Automat,Silver,Mercedes-Benz,14.3,l/100km
